Year,Week,UC_name,cases,week_start,own_lag1,own_lag2,own_lag3,own_lag4,own_roll2,own_roll4,own_roll8,own_delta,city_cases,city_lag1,city_lag2,city_roll4,nb_sum1,nb_mean1,nb_max1,nb_sum2,nb_mean2,nb_max2,nb_delta,temp_mean,temp_max,temp_min,humidity,rain,rain_days,pressure,wind,temp_mean_lag2,temp_mean_lag4,temp_mean_lag6,temp_mean_lag8,humidity_lag2,humidity_lag4,humidity_lag6,humidity_lag8,rain_lag2,rain_lag4,rain_lag6,rain_lag8,rain_days_lag2,rain_days_lag4,rain_days_lag6,rain_days_lag8,rain_c8,week_sin,week_cos,target
2021,1,107 UC,0,2021-01-04,0,,,,,,,,0,0,,,0.0,0.0,0.0,,,,,10.671428571428573,16.285714285714285,6.928571428571429,79.71428571428571,28.2,1,1016.7857142857144,6.7,10.428571428571429,12.471428571428572,12.185714285714283,16.942857142857143,70.14285714285714,77.85714285714286,73.71428571428571,62.0,16.1,26.8,15.7,40.8,1.0,3.0,3.0,2.0,104.39999999999999,0.12053668025532305,0.992708874098054,0.0
2021,2,107 UC,0,2021-01-11,0,0.0,,,0.0,,,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.285714285714286,16.657142857142855,4.042857142857143,77.42857142857143,0.0,0,1015.4571428571428,6.214285714285714,9.614285714285714,8.571428571428571,14.3,12.428571428571429,63.142857142857146,66.57142857142857,68.85714285714286,71.14285714285714,1.1,0.0,0.0,3.9,1.0,0.0,0.0,2.0,91.8,0.23931566428755774,0.970941817426052,0.0
2021,3,107 UC,0,2021-01-18,0,0.0,0.0,,0.0,,,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.328571428571427,17.75714285714286,4.671428571428572,70.0,10.4,1,1015.1,7.728571428571429,10.671428571428573,10.428571428571429,12.471428571428572,12.185714285714283,79.71428571428571,70.14285714285714,77.85714285714286,73.71428571428571,28.2,16.1,26.8,15.7,1.0,1.0,3.0,3.0,87.89999999999999,0.3546048870425356,0.9350162426854148,0.0
2021,4,107 UC,0,2021-01-25,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.257142857142856,18.04285714285714,4.557142857142858,57.142857142857146,0.0,0,1017.7857142857144,6.371428571428572,9.285714285714286,9.614285714285714,8.571428571428571,14.3,77.42857142857143,63.142857142857146,66.57142857142857,68.85714285714286,0.0,1.1,0.0,0.0,0.0,1.0,0.0,0.0,82.60000000000001,0.4647231720437685,0.8854560256532099,0.0
2021,5,107 UC,0,2021-02-01,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.814285714285717,18.62857142857143,6.257142857142857,64.71428571428571,3.5,2,1018.7857142857144,7.128571428571428,10.328571428571427,10.671428571428573,10.428571428571429,12.471428571428572,70.0,79.71428571428571,70.14285714285714,77.85714285714286,10.4,28.2,16.1,26.8,1.0,1.0,1.0,3.0,82.60000000000001,0.5680647467311558,0.8229838658936564,0.0
2021,6,107 UC,0,2021-02-08,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,23.17142857142857,9.028571428571428,59.142857142857146,0.0,0,1015.0285714285714,6.742857142857143,10.257142857142856,9.285714285714286,9.614285714285714,8.571428571428571,57.142857142857146,77.42857142857143,63.142857142857146,66.57142857142857,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,59.300000000000004,0.6631226582407952,0.7485107481711011,0.0
2021,7,107 UC,0,2021-02-15,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.157142857142855,24.185714285714287,10.342857142857143,55.42857142857143,0.0,0,1016.4285714285714,6.214285714285714,11.814285714285717,10.328571428571427,10.671428571428573,10.428571428571429,64.71428571428571,70.0,79.71428571428571,70.14285714285714,3.5,10.4,28.2,16.1,2.0,1.0,1.0,1.0,59.300000000000004,0.7485107481711011,0.6631226582407953,0.0
2021,8,107 UC,0,2021-02-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.52857142857143,23.914285714285715,12.314285714285717,56.42857142857143,9.099999999999998,1,1011.3285714285714,7.614285714285714,15.2,10.257142857142856,9.285714285714286,9.614285714285714,59.142857142857146,57.142857142857146,77.42857142857143,63.142857142857146,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.0,43.2,0.8229838658936564,0.5680647467311558,0.0
2021,9,107 UC,0,2021-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.314285714285713,25.7,11.728571428571428,42.714285714285715,1.9,1,1013.0,7.914285714285714,16.157142857142855,11.814285714285717,10.328571428571427,10.671428571428573,55.42857142857143,64.71428571428571,70.0,79.71428571428571,0.0,3.5,10.4,28.2,0.0,2.0,1.0,1.0,51.199999999999996,0.8854560256532098,0.4647231720437686,0.0
2021,10,107 UC,0,2021-03-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,23.057142857142857,13.0,57.285714285714285,14.5,3,1016.0142857142856,10.3,17.52857142857143,15.2,10.257142857142856,9.285714285714286,56.42857142857143,59.142857142857146,57.142857142857146,77.42857142857143,9.099999999999998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.9,0.9350162426854148,0.35460488704253557,0.0
