Year,Week,temp_mean,temp_max,temp_min,humidity,rain,rain_days,pressure,wind
2019,2,8.914285714285715,14.299999999999999,5.0,71.28571428571429,14.4,1,1019.6428571428571,7.771428571428571
2019,3,9.62857142857143,16.057142857142857,4.7,65.57142857142857,3.5,1,1018.6714285714286,7.2
2019,4,8.528571428571428,13.542857142857143,4.971428571428572,76.71428571428571,42.4,3,1019.7285714285715,8.0
2019,5,9.457142857142857,15.485714285714286,5.2,68.42857142857143,22.1,2,1020.8000000000001,8.4
2019,6,10.257142857142856,15.442857142857141,6.528571428571429,71.14285714285714,24.9,4,1017.2571428571429,7.542857142857143
2019,7,11.842857142857143,17.67142857142857,6.971428571428571,71.0,7.0,2,1018.4714285714286,7.7
2019,8,11.028571428571428,16.585714285714285,6.128571428571428,74.28571428571429,48.7,3,1015.342857142857,7.5
2019,9,10.085714285714285,14.357142857142858,6.2,73.42857142857143,27.5,5,1014.9,8.385714285714286
2019,10,13.171428571428573,19.7,7.814285714285715,64.71428571428571,4.0,2,1013.1285714285714,7.485714285714286
2019,11,13.985714285714286,19.3,9.014285714285714,70.0,18.900000000000002,3,1017.3142857142857,7.728571428571429
2019,12,15.671428571428573,21.614285714285717,9.971428571428572,65.57142857142857,11.1,2,1014.6142857142858,8.914285714285715
2019,13,19.37142857142857,26.3,13.385714285714286,56.857142857142854,0.1,0,1012.6857142857143,10.385714285714286
2019,14,23.2,31.185714285714287,16.3,46.857142857142854,0.30000000000000004,0,1009.1142857142858,8.142857142857142
2019,15,23.214285714285715,29.47142857142857,17.87142857142857,57.857142857142854,6.0,3,1010.1857142857143,9.085714285714285
2019,16,21.142857142857142,26.842857142857145,16.414285714285715,68.57142857142857,66.3,2,1009.842857142857,7.957142857142857
2019,17,23.900000000000002,30.842857142857145,17.6,59.285714285714285,4.3,2,1009.0571428571428,9.6
2019,18,24.25714285714286,31.642857142857142,17.5,42.857142857142854,0.2,0,1006.8142857142857,8.642857142857142
2019,19,26.87142857142857,34.74285714285715,19.17142857142857,35.0,0.0,0,1004.8000000000001,7.985714285714286
2019,20,25.728571428571428,31.47142857142857,20.400000000000002,51.57142857142857,3.0,1,1006.842857142857,8.071428571428571
2019,21,26.3,32.74285714285714,19.885714285714283,47.142857142857146,5.7,1,1006.0714285714286,8.7
2019,22,30.071428571428573,38.51428571428572,21.857142857142858,32.0,0.0,0,1001.4571428571428,7.8999999999999995
2019,23,30.342857142857145,37.128571428571426,23.514285714285712,34.0,0.0,0,1002.2714285714285,9.271428571428572
2019,24,30.714285714285715,37.971428571428575,23.52857142857143,32.42857142857143,0.1,0,998.8857142857142,8.142857142857142
2019,25,29.928571428571427,35.628571428571426,23.485714285714288,42.714285714285715,1.6,1,1000.7285714285715,7.6000000000000005
2019,26,31.228571428571428,37.67142857142857,24.942857142857143,39.42857142857143,0.1,0,998.7285714285715,7.428571428571429
2019,27,32.15714285714286,38.028571428571425,26.042857142857144,50.714285714285715,14.6,3,996.1,7.514285714285714
2019,28,29.142857142857142,33.92857142857143,25.042857142857144,74.85714285714286,56.6,7,995.8142857142857,7.971428571428571
2019,29,28.32857142857143,32.357142857142854,24.52857142857143,73.71428571428571,24.1,5,1000.3571428571429,6.571428571428571
2019,30,28.671428571428574,32.614285714285714,25.442857142857143,76.14285714285714,46.199999999999996,5,999.1,7.357142857142857
2019,31,28.24285714285714,32.48571428571429,24.8,77.85714285714286,31.0,5,999.6142857142858,6.385714285714286
2019,32,28.228571428571428,32.214285714285715,25.271428571428572,80.28571428571429,62.7,4,997.7857142857143,6.485714285714286
2019,33,27.599999999999998,31.414285714285715,24.314285714285713,83.0,58.300000000000004,5,1001.1285714285714,6.257142857142857
2019,34,28.114285714285717,33.1,23.542857142857144,71.0,5.199999999999999,1,1003.2571428571429,5.557142857142857
2019,35,29.571428571428573,34.042857142857144,25.614285714285717,70.57142857142857,11.5,2,1002.6,5.257142857142857
2019,36,29.5,34.77142857142857,24.814285714285713,67.0,22.3,5,1000.8142857142857,6.742857142857143
2019,37,29.985714285714288,35.55714285714286,24.771428571428572,62.714285714285715,4.4,2,1002.1714285714286,6.571428571428571
2019,38,26.900000000000002,32.285714285714285,22.514285714285712,69.57142857142857,17.6,3,1007.4857142857144,6.071428571428571
2019,39,25.957142857142856,30.157142857142855,22.857142857142858,76.28571428571429,32.5,4,1011.6,5.7
2019,40,22.542857142857144,27.185714285714287,18.74285714285714,72.28571428571429,22.200000000000003,5,1011.1285714285714,7.6571428571428575
2019,41,23.542857142857144,29.82857142857143,18.599999999999998,57.0,0.4,0,1012.1142857142858,5.8
2019,42,22.38571428571429,28.74285714285714,17.485714285714288,63.714285714285715,11.299999999999999,3,1014.9142857142857,7.1571428571428575
2019,43,21.057142857142857,28.47142857142857,15.714285714285714,51.142857142857146,0.8,0,1012.2285714285715,6.814285714285715
2019,44,20.985714285714288,27.385714285714283,16.12857142857143,58.285714285714285,0.2,0,1013.8571428571429,8.114285714285714
2019,45,17.071428571428573,22.5,13.042857142857143,68.42857142857143,45.800000000000004,3,1013.9428571428572,7.557142857142857
2019,46,16.628571428571426,21.37142857142857,13.342857142857143,74.85714285714286,28.1,3,1016.8714285714286,7.442857142857143
2019,47,15.071428571428571,19.842857142857145,11.685714285714285,74.0,2.5,1,1016.5571428571428,7.314285714285715
2019,48,13.12857142857143,19.057142857142857,8.957142857142857,71.42857142857143,0.5,0,1018.1857142857143,6.885714285714286
2019,49,12.214285714285714,19.900000000000002,7.257142857142857,64.42857142857143,0.0,0,1019.6285714285714,5.714285714285714
2019,50,10.957142857142857,16.2,7.114285714285715,76.57142857142857,11.5,3,1017.0428571428572,6.685714285714285
