UC_name,neighbour
DHOK MANGTAL,DHOK HASSU(SOUTH)
DHOK MANGTAL,FAUJI COLONY
DHOK MANGTAL,KHANA DAK
DHOK MANGTAL,RAWALPINDI CANTT-3
DHOK MANGTAL,SAIDPUR SCHEME
DHOK HASSU(NORTH),BANGISH COLONY
DHOK HASSU(NORTH),DHOK HASSU(SOUTH)
DHOK HASSU(NORTH),DHOK MANGTAL
DHOK HASSU(NORTH),DHOK RATTA
DHOK HASSU(NORTH),FAUJI COLONY
DHOK HASSU(NORTH),KHANA DAK
DHOK HASSU(SOUTH),DHOK HASSU(NORTH)
DHOK HASSU(SOUTH),DHOK MANGTAL
DHOK HASSU(SOUTH),DHOK NAJJU
DHOK HASSU(SOUTH),DHOK RATTA
DHOK HASSU(SOUTH),HAZARA COLONY
DHOK HASSU(SOUTH),KHYBAN SIR SYED(NORTH)
DHOK HASSU(SOUTH),RAWALPINDI CANTT-3
DHOK HASSU(SOUTH),Ratta Amral
DHOK HASSU(SOUTH),SAIDPUR SCHEME
PIR WADHI,DHOK NAJJU
PIR WADHI,KHYBAN SIR SYED(NORTH)
PIR WADHI,KHYBAN SIR SYED(SOUTH)
PIR WADHI,NEW KATARIAN
PIR WADHI,RAWALPINDI CANTT-1
PIR WADHI,RAWALPINDI CANTT-2
FAUJI COLONY,BANGISH COLONY
FAUJI COLONY,DHOK HASSU(NORTH)
FAUJI COLONY,DHOK MANGTAL
FAUJI COLONY,Jhanda Chichi
FAUJI COLONY,KHANA DAK
FAUJI COLONY,RAWALPINDI CANTT-3
BANGISH COLONY,DHOK HASSU(NORTH)
BANGISH COLONY,DHOK MANGTAL
BANGISH COLONY,FAUJI COLONY
BANGISH COLONY,Jhanda Chichi
BANGISH COLONY,KHANA DAK
BANGISH COLONY,RAWALPINDI CANTT-3
KHYBAN SIR SYED(NORTH),DHOK HASSU(SOUTH)
KHYBAN SIR SYED(NORTH),DHOK NAJJU
KHYBAN SIR SYED(NORTH),DHOK RATTA
KHYBAN SIR SYED(NORTH),HAZARA COLONY
KHYBAN SIR SYED(NORTH),KHYBAN SIR SYED(SOUTH)
KHYBAN SIR SYED(NORTH),PIR WADHI
KHYBAN SIR SYED(NORTH),RAWALPINDI CANTT-1
DHOK NAJJU,DHOK HASSU(SOUTH)
DHOK NAJJU,KHYBAN SIR SYED(NORTH)
DHOK NAJJU,KHYBAN SIR SYED(SOUTH)
DHOK NAJJU,NEW KATARIAN
DHOK NAJJU,PIR WADHI
DHOK NAJJU,RAWALPINDI CANTT-2
DHOK NAJJU,Ratta Amral
DHOK NAJJU,SAIDPUR SCHEME
NEW KATARIAN,DHOK NAJJU
NEW KATARIAN,Dhok Ratta
NEW KATARIAN,PIR WADHI
NEW KATARIAN,RAWALPINDI CANTT-2
NEW KATARIAN,Ratta Amral
Ratta Amral,DHOK HASSU(SOUTH)
Ratta Amral,DHOK NAJJU
Ratta Amral,Dhok Ratta
Ratta Amral,Mohan Pura
